Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C2, C3, C4, C5, C6, C8, C9",0805,12,0.1uF,C126469
C10,0805,1,100n,
C23,1206,1,100uF,C309030
D1,0805,1,~{CS},
D2,0805,1,MOSI,
D3,0805,1,MISO,
J1,CONN9_MSD-1_CUD,1,Micro_SD_Card_Det1,C381082
J2,ISA_CARD_EDGE_CONNECTOR_8BIT_Rev1,1,Bus_ISA_8bit_AB_Rev0,
R1,0805,1,10k,C5159708
"R10, R11, R8, R9",0805,4,3.3k,C407459
"R2, R3, R4",0805,3,180,
"RN1, RN3",R_Array_Convex_4x0612,2,10k,
SW1,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,1,ADDR SEL,
"U1, U5",SOIC-14_3.9x8.7mm_P1.27mm,2,74HC00,C699445
"U10, U13",SOIC-14_3.9x8.7mm_P1.27mm,2,74HC74,
U11,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC08,
U12,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC04,
U16,SOT-223-3_TabPin2,1,AMS1117-3.3,C5346136
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,74HCT32,
U21,TSSOP-14_4.4x5mm_P0.65mm,1,74LVC125,C7494906
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,74HCT139,
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC163,C338758
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC165,C5613
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC595,C5947
U8,SOIC-20W_7.5x12.8mm_P1.27mm,1,74HCT688,
U9,SOIC-20W_7.5x12.8mm_P1.27mm,1,74HCT245,
X1,Oscillator_DIP-14,1,16MHz,
