Designator,Mid X,Mid Y,Rotation,Layer
C1,110.725,-74.215,90.0,top
C10,109.455,-61.2,270.0,top
C11,133.585,-48.18,90.0,top
C12,110.725,-99.3,90.0,top
C13,110.725,-86.915,90.0,top
C14,87.865,-83.105,90.0,top
C2,133.585,-73.9,90.0,top
C23,162.2485,-61.454,0.0,top
C3,154.54,-86.6,90.0,top
C4,131.68,-99.3,90.0,top
C5,152.0,-98.98,90.0,top
C6,154.54,-74.22,90.0,top
C8,133.585,-60.88,90.0,top
C9,133.585,-86.6,90.0,top
D1,84.2605,-47.738,180.0,top
D2,84.2605,-52.818,180.0,top
D3,84.2605,-50.278,180.0,top
J1,175.441304,-58.279098,90.0,top
R1,154.54,-80.25,0.0,top
R10,151.127,-49.77,0.0,top
R11,164.335,-50.278,180.0,top
R2,84.309,-64.502,0.0,top
R3,84.309,-59.422,0.0,top
R4,84.309,-61.962,0.0,top
R8,164.335,-47.738,180.0,top
R9,151.127,-47.23,0.0,top
RN1,92.31,-70.155,0.0,top
RN3,100.565,-70.155,0.0,top
SW1,94.5425,-99.3,90.0,top
U1,140.57,-48.435,0.0,top
U10,117.71,-86.665,0.0,top
U11,140.57,-61.135,0.0,top
U12,117.71,-73.9,0.0,top
U13,117.71,-99.365,0.0,top
U16,154.159,-58.914,180.0,top
U2,140.57,-73.835,0.0,top
U21,157.715,-48.754,270.0,top
U3,139.3,-99.235,0.0,top
U4,117.075,-61.265,0.0,top
U5,140.57,-86.535,0.0,top
U6,162.795,-73.9,0.0,top
U7,162.795,-86.535,0.0,top
U8,96.755,-83.22,0.0,top
U9,161.525,-98.87,0.0,top
X1,99.803,-50.532,0.0,top
